T9-W7 pass 3 · MRK-ABS R2 — matched-ordinate clearance, ring ink vs rule ink
worst = min over every sampled ordinate of every side of every cell, over all 4 poses.
'straight' = pass-2's model (rule at its nominal coordinate); 'wobbled' = the rule's real path.

### 4x4 · PROTO f=0.86 w=5.4
  tier            kind     worst_u(wobbled) worst_px_desk  neg%   | worst_u(straight) px_desk
  invalid         frame        2.094      0.863    0.0%  |     6.383      2.630
  invalid+focus   cell        17.662      7.277    0.0%  |    21.387      8.811
  invalid+focus   subgrid     11.487      4.732    0.0%  |    19.854      8.180
  invalid+focus   frame        1.709      0.704    0.0%  |     5.999      2.471

### 9x9 · PROTO f=0.86 w=5.4
  tier            kind     worst_u(wobbled) worst_px_desk  neg%   | worst_u(straight) px_desk
  peer            cell         5.671      3.153    0.0%  |    10.640      5.916
  peer            subgrid      2.930      1.629    0.0%  |     9.155      5.090
  peer            frame      -10.622     -5.906   28.1%  |    -4.590     -2.552
  hover           cell         5.286      2.939    0.0%  |    10.255      5.702
  hover           subgrid      2.546      1.415    0.0%  |     8.771      4.877
  hover           frame      -11.007     -6.120   29.5%  |    -4.974     -2.766
  focus           cell         4.517      2.511    0.0%  |     9.486      5.274
  focus           subgrid      1.777      0.988    0.0%  |     8.002      4.449
  focus           frame      -11.776     -6.548   31.9%  |    -5.743     -3.193
  invalid         cell         3.748      2.084    0.0%  |     8.717      4.847
  invalid         subgrid      1.007      0.560    0.0%  |     7.232      4.021
  invalid         frame      -12.545     -6.975   34.3%  |    -6.513     -3.621
  invalid+focus   cell         3.363      1.870    0.0%  |     8.332      4.633
  invalid+focus   subgrid      0.623      0.346    0.0%  |     6.848      3.807
  invalid+focus   frame      -12.930     -7.189   35.7%  |    -6.897     -3.835

### 9x9 · HEAD  f=1.00 r=0.4
  tier            kind     worst_u(wobbled) worst_px_desk  neg%   | worst_u(straight) px_desk
  peer            cell         3.098      1.723    0.0%  |     8.273      4.600
  peer            subgrid     -1.544     -0.859    1.8%  |     6.775      3.767
  peer            frame      -13.227     -7.354   50.5%  |    -7.194     -4.000
  hover           cell         2.713      1.509    0.0%  |     7.888      4.386
  hover           subgrid     -1.929     -1.073    5.0%  |     6.390      3.553
  hover           frame      -13.612     -7.568   51.6%  |    -7.579     -4.214
  focus           cell         1.944      1.081    0.0%  |     7.119      3.958
  focus           subgrid     -2.698     -1.500   11.2%  |     5.621      3.125
  focus           frame      -14.381     -7.996   53.2%  |    -8.348     -4.642
  invalid         cell         1.175      0.653    0.0%  |     6.350      3.530
  invalid         subgrid     -3.468     -1.928   15.0%  |     4.852      2.697
  invalid         frame      -15.150     -8.423   54.8%  |    -9.117     -5.069
  invalid+focus   cell         0.790      0.439    0.0%  |     5.965      3.317
  invalid+focus   subgrid     -3.852     -2.142   17.2%  |     4.467      2.484
  invalid+focus   frame      -15.535     -8.637   55.4%  |    -9.502     -5.283

### 16x16 · PROTO f=0.86 w=5.4
  tier            kind     worst_u(wobbled) worst_px_desk  neg%   | worst_u(straight) px_desk
  peer            cell        -2.048     -1.139    0.8%  |     2.386      1.326
  peer            subgrid     -7.997     -4.447   13.9%  |     0.895      0.498
  peer            frame      -18.902    -10.509   54.1%  |   -13.063     -7.263
  hover           cell        -2.432     -1.352    1.4%  |     2.001      1.113
  hover           subgrid     -8.382     -4.660   15.4%  |     0.510      0.284
  hover           frame      -19.286    -10.723   55.7%  |   -13.447     -7.477
  focus           cell        -3.202     -1.780    3.0%  |     1.232      0.685
  focus           subgrid     -9.151     -5.088   18.7%  |    -0.259     -0.144
  focus           frame      -20.055    -11.151   59.8%  |   -14.217     -7.904
  invalid         cell        -3.971     -2.208    5.6%  |     0.463      0.257
  invalid         subgrid     -9.920     -5.516   23.5%  |    -1.028     -0.572
  invalid         frame      -20.825    -11.579   64.8%  |   -14.986     -8.332
  invalid+focus   cell        -4.356     -2.422    7.6%  |     0.078      0.043
  invalid+focus   subgrid    -10.305     -5.730   26.1%  |    -1.413     -0.785
  invalid+focus   frame      -21.209    -11.792   67.6%  |   -15.370     -8.546

### 16x16 · HEAD  f=1.00 r=0.4
  tier            kind     worst_u(wobbled) worst_px_desk  neg%   | worst_u(straight) px_desk
  peer            cell        -2.377     -1.322   11.4%  |     2.886      1.604
  peer            subgrid     -8.080     -4.492   33.3%  |     1.386      0.770
  peer            frame      -18.538    -10.307   83.5%  |   -12.602     -7.007
  hover           cell        -2.762     -1.536   14.7%  |     2.501      1.391
  hover           subgrid     -8.465     -4.706   35.5%  |     1.001      0.557
  hover           frame      -18.923    -10.521   86.4%  |   -12.987     -7.221
  focus           cell        -3.531     -1.963   21.4%  |     1.732      0.963
  focus           subgrid     -9.234     -5.134   41.8%  |     0.232      0.129
  focus           frame      -19.692    -10.949   91.8%  |   -13.756     -7.648
  invalid         cell        -4.300     -2.391   30.4%  |     0.963      0.535
  invalid         subgrid    -10.003     -5.562   57.1%  |    -0.537     -0.299
  invalid         frame      -20.461    -11.376   94.4%  |   -14.525     -8.076
  invalid+focus   cell        -4.685     -2.605   36.3%  |     0.578      0.321
  invalid+focus   subgrid    -10.388     -5.776   61.3%  |    -0.922     -0.513
  invalid+focus   frame      -20.846    -11.590   95.7%  |   -14.910     -8.290

